,GEOID,totalpop,party,full_name,gini_index_of_income_inequality,median_household_income,white,black,amerindian_native,asian,hawaiian_pacific,other_race,two_more_races,hispanic_latino,citizen_voters,state_district,lackinsurance,csmoking,diabetes,obesity,ghlth,mhlth,url,twitter
187,3904,707219.0,Republican,Jim Jordan,0.4180,55425.0,637111.0,35888.0,3610.0,8129.0,74.0,4479.0,17928.0,27388.0,542874.0,OH-04,0.08900000000000001,0.19699999999999998,0.109,0.35600000000000004,0.174,0.131,https://jordan.house.gov,Jim_Jordan
188,3906,694694.0,Republican,Bill Johnson,0.4654,47470.0,658447.0,15368.0,1304.0,3887.0,0.0,2074.0,13614.0,6563.0,545803.0,OH-06,0.086,0.203,0.121,0.358,0.205,0.13699999999999998,https://billjohnson.house.gov,RepBillJohnson
189,3907,734091.0,Republican,Bob Gibbs,0.4309,57055.0,677610.0,28285.0,1645.0,4713.0,0.0,3780.0,18058.0,18719.0,557024.0,OH-07,0.084,0.192,0.109,0.35100000000000003,0.175,0.128,https://gibbs.house.gov,RepBobGibbs
190,0636,752138.0,Democrat,Raul Ruiz,0.5217,48230.0,500142.0,34742.0,7241.0,31560.0,1644.0,153319.0,23490.0,352652.0,536333.0,CA-36,0.171,0.136,0.11900000000000001,0.289,0.195,0.134,https://ruiz.house.gov,RepRaulRuizMD
191,0807,801315.0,Democrat,Ed Perlmutter,0.4138,73244.0,696949.0,13627.0,6442.0,24425.0,451.0,25102.0,34319.0,236119.0,576138.0,CO-07,0.133,0.146,0.069,0.242,0.129,0.111,https://perlmutter.house.gov,RepPerlmutter
192,3401,731297.0,Democrat,Donald Norcross,0.4565,71299.0,486685.0,129837.0,822.0,40308.0,63.0,50696.0,22886.0,105997.0,542034.0,NJ-01,0.111,0.165,0.109,0.315,0.18600000000000003,0.128,https://norcross.house.gov,DonaldNorcross
193,3608,791211.0,Democrat,Hakeem S. Jeffries,0.5263,55439.0,246189.0,404883.0,1929.0,49353.0,77.0,61137.0,27643.0,141315.0,540660.0,NY-08,0.151,0.15,0.12,0.268,0.2,0.131,https://jeffries.house.gov,RepJeffries
194,4101,858910.0,Democrat,Suzanne Bonamici,0.4487,78111.0,682996.0,18791.0,5374.0,69904.0,4836.0,33889.0,43120.0,128145.0,606198.0,OR-01,0.10800000000000001,0.13,0.075,0.272,0.128,0.122,https://bonamici.house.gov,RepBonamici
195,4215,680927.0,Republican,Glenn Thompson,0.4263,50166.0,649327.0,11851.0,792.0,5334.0,174.0,2896.0,10553.0,10122.0,548615.0,PA-15,0.071,0.191,0.098,0.331,0.175,0.13,https://thompson.house.gov,CongressmanGT
196,4216,686525.0,Republican,Mike Kelly,0.4574,51536.0,623500.0,32918.0,1349.0,8556.0,63.0,4596.0,15543.0,18201.0,539710.0,PA-16,0.073,0.19899999999999998,0.098,0.33399999999999996,0.179,0.134,https://kelly.house.gov,MikeKellyPA
